Linea;Uso;Forma;Stile;Versione;Formato (ml);Fea;Imboccatura;Codice Articolo;Codice;render;mask;Base;peso gr.;pz box;peso box kg;box;Descrizione;Costo Unitario (€)
36;Profumi;squadrata;verniciato_nero_opaco;Liscia;30;15;Crimp;HYD36哑黑;BOT_36_verniciato_nero_opaco_L_15_Crimp;;;rettangolare;70g;192;13.5;40*31*15;Bottiglia in vetro x Profumi, stile verniciato_nero_opaco, forma squadrata, Liscia, 30ml, Fea 15, Crimp, base rettangolare;
36;Profumi;squadrata;verniciato_nero_opaco;Liscia;50;15;Crimp;W3625哑黑;BOT_36_verniciato_nero_opaco_L_15_Crimp;;;rettangolare;100;140;14;41*32*17;Bottiglia in vetro x Profumi, stile verniciato_nero_opaco, forma squadrata, Liscia, 50ml, Fea 15, Crimp, base rettangolare;
36;Profumi;squadrata;verniciato_nero_opaco;Liscia;100;15;Crimp;XNE/337哑黑;BOT_36_verniciato_nero_opaco_L_15_Crimp;;;rettangolare;150;96;17;43*32*20;Bottiglia in vetro x Profumi, stile verniciato_nero_opaco, forma squadrata, Liscia, 100ml, Fea 15, Crimp, base rettangolare;
37;Profumi;cilindrica;;Liscia;30;15;Crimp;XB077;BOT_37__L_15_Crimp;;;tonda;65;192;13.5;51*34*14;Bottiglia in vetro x Profumi, stile , forma cilindrica, Liscia, 30ml, Fea 15, Crimp, base tonda;
37;Profumi;cilindrica;;Liscia;50;15;Crimp;HYD159;BOT_37__L_15_Crimp;;;tonda;100;140;15;52*36*16;Bottiglia in vetro x Profumi, stile , forma cilindrica, Liscia, 50ml, Fea 15, Crimp, base tonda;
37;Profumi;cilindrica;;Liscia;100;15;Crimp;XB093;BOT_37__L_15_Crimp;;;tonda;200;70;15.5;43*31*20;Bottiglia in vetro x Profumi, stile , forma cilindrica, Liscia, 100ml, Fea 15, Crimp, base tonda;
38;Profumi;squadrata;;Liscia;30;18;Vite;DU-8;BOT_38__L_18_Vite;;;rettangolare;100;144;15;40*28*19;Bottiglia in vetro x Profumi, stile , forma squadrata, Liscia, 30ml, Fea 18, Vite, base rettangolare;
38;Profumi;squadrata;;Liscia;50;18;Vite;DU-9 XB309;BOT_38__L_18_Vite;;;rettangolare;127;120;15.5;40.5*28.2*21.4;Bottiglia in vetro x Profumi, stile , forma squadrata, Liscia, 50ml, Fea 18, Vite, base rettangolare;
38;Profumi;squadrata;;Liscia;100;18;Vite;XB087;BOT_38__L_18_Vite;;;rettangolare;200;49;11;47.1*24.7*14.2;Bottiglia in vetro x Profumi, stile , forma squadrata, Liscia, 100ml, Fea 18, Vite, base rettangolare;
39;Profumi;squadrata;;Liscia;50;15;Crimp;HYD1052;BOT_39__L_15_Crimp;;;rettangolare;180;80;15.5;49*27*16;Bottiglia in vetro x Profumi, stile , forma squadrata, Liscia, 50ml, Fea 15, Crimp, base rettangolare;
39;Profumi;squadrata;;Liscia;100;15;Crimp;W2429高;BOT_39__L_15_Crimp;;;rettangolare;250;50;13.5;54*31*13;Bottiglia in vetro x Profumi, stile , forma squadrata, Liscia, 100ml, Fea 15, Crimp, base rettangolare;
