Categoria;Linea;Modello;Finitura;colore;caratteristiche;peso gr.;Fea;Imboccatura;quantità;peso box kg;misure box cm;Codice;Descrizione;render;mask;Costo Unitario (€)
Tappo;2;         13口磨砂亚克力;Plexiglas;trasparente;smerigliato;7,5;13;Crimp;1728;16;40*30*33;Tappo_2_Plexiglas_trasparente_13_smerigliato;Tappo, 2, Plexiglas, trasparente, smerigliatoFea 13, Crimp;Tappo_2_Plexiglas_trasparente_13_smerigliato_render;Tappo_2_Plexiglas_trasparente_13_smerigliato_mask;0,2
Tappo;2;        15口透明亚克力;Plexiglas;trasparente;lucido;14;15;Crimp;1000;14.6 ;40*30*32;Tappo_2_Plexiglas_trasparente_15_lucido;Tappo, 2, Plexiglas, trasparente, lucidoFea 15, Crimp;Tappo_2_Plexiglas_trasparente_15_lucido_render;Tappo_2_Plexiglas_trasparente_15_lucido_mask;0,2
Tappo;2;         15口磨砂亚克力;Plexiglas;trasparente;smerigliato;7,5;15;Crimp;1716;14;44*30*32;Tappo_2_Plexiglas_trasparente_15_smerigliato;Tappo, 2, Plexiglas, trasparente, smerigliatoFea 15, Crimp;Tappo_2_Plexiglas_trasparente_15_smerigliato_render;Tappo_2_Plexiglas_trasparente_15_smerigliato_mask;0,3
Tappo;3;15口50银亚克力;Plexiglas;argento;metallizzato;;15;Crimp;1200;10.7 ;40*29*33;Tappo_3_Plexiglas_argento_15_metallizzato;Tappo, 3, Plexiglas, argento, metallizzatoFea 15, Crimp;Tappo_3_Plexiglas_argento_15_metallizzato_render;Tappo_3_Plexiglas_argento_15_metallizzato_mask;0,4
Tappo;3;15口100金亚克力;Plexiglas;oro;metallizzato;13,5;15;Crimp;1000;14;40*29*33;Tappo_3_Plexiglas_oro_15_metallizzato;Tappo, 3, Plexiglas, oro, metallizzatoFea 15, Crimp;Tappo_3_Plexiglas_oro_15_metallizzato_render;Tappo_3_Plexiglas_oro_15_metallizzato_mask;0,5
Tappo;3;15口玻璃盖;vetro;trasparente;lucido;39;15;Crimp;320;12.5 ;40*33*12;Tappo_3_vetro_trasparente_15_lucido;Tappo, 3, vetro, trasparente, lucidoFea 15, Crimp;Tappo_3_vetro_trasparente_15_lucido_render;Tappo_3_vetro_trasparente_15_lucido_mask;0,2
Tappo;3;15口磨砂玻璃盖;vetro;trasparente;smerigliato;39;15;Crimp;320;12.5 ;40*33*12;Tappo_3_vetro_trasparente_15_smerigliato;Tappo, 3, vetro, trasparente, smerigliatoFea 15, Crimp;Tappo_3_vetro_trasparente_15_smerigliato_render;Tappo_3_vetro_trasparente_15_smerigliato_mask;0,3
Tappo;4;15口蓝风铃金;plastica;oro;lucido;8.5 ;15;Crimp;1250;12;40*30*32;Tappo_4_plastica_oro_15_lucido;Tappo, 4, plastica, oro, lucidoFea 15, Crimp;Tappo_4_plastica_oro_15_lucido_render;Tappo_4_plastica_oro_15_lucido_mask;0,4
Tappo;4;15口蓝风铃银;plastica;argento;lucido;8.5 ;15;Crimp;1250;12;40*30*32;Tappo_4_plastica_argento_15_lucido;Tappo, 4, plastica, argento, lucidoFea 15, Crimp;Tappo_4_plastica_argento_15_lucido_render;Tappo_4_plastica_argento_15_lucido_mask;0,5
Tappo;4;15口蓝风铃黑;plastica;nero;lucido;8.5 ;15;Crimp;1380;12.1 ;40*29*33;Tappo_4_plastica_nero_15_lucido;Tappo, 4, plastica, nero, lucidoFea 15, Crimp;Tappo_4_plastica_nero_15_lucido_render;Tappo_4_plastica_nero_15_lucido_mask;0,6
